"","Rice","Taro","Breadfruit","Fish","Pork","Cabbage","Bird_nest_fern","Banana","Coconut","Imp_fruits","Eggs","Sweetened_bevs","Ice_cream","Potatoes","Cassava","Instant_noodles","Chicken","Lamb_beef","Cucumber","Imp_vegs","Papaya","Pandanus","Milk","Chips_biscuits","Cake"
"76",1,2,1,1,3,2,3,3,2,3,2,3,3,2,2,1,1,3,1,2,2,3,2,2,2
"77",1,3,3,1,3,1,3,3,3,1,1,1,3,3,3,1,1,2,1,3,3,3,1,1,3
"78",1,3,3,1,3,3,3,2,1,3,1,3,3,3,2,3,3,3,2,2,3,3,3,3,3
"79",1,3,2,1,3,1,3,3,1,3,2,3,3,3,2,2,1,3,2,3,3,3,2,3,3
"80",1,2,2,1,3,1,3,3,1,3,1,3,3,2,2,1,1,3,1,2,3,3,2,2,3
"81",2,2,1,1,2,2,3,1,1,1,1,3,3,2,2,3,1,2,2,1,2,2,1,2,3
"82",1,3,3,1,3,3,3,3,1,3,3,3,3,1,1,1,2,3,2,3,2,3,1,3,3
"83",1,2,2,1,2,1,3,2,1,2,1,3,3,1,1,1,1,3,1,2,1,2,1,1,1
"84",1,2,1,1,3,1,3,2,2,2,1,3,1,1,1,2,1,3,1,1,1,2,1,1,1
"85",1,1,3,1,1,1,3,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,2,1,1
"86",1,2,2,1,2,3,3,3,3,1,1,3,3,2,2,1,1,1,3,2,3,3,1,1,2
"87",2,2,1,1,3,1,1,3,3,1,2,3,3,1,1,3,3,3,1,1,1,2,2,3,1
"88",1,1,1,1,3,3,3,1,2,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1
"89",1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"90",1,3,3,1,3,2,3,1,1,3,1,3,3,3,3,1,1,3,2,3,2,2,1,3,3
"91",1,3,3,1,2,2,3,3,1,1,3,2,2,2,3,1,1,3,3,3,1,3,3,1,3
"92",3,1,1,1,3,1,3,2,1,3,1,3,3,2,1,3,3,2,3,3,2,2,3,3,3
"93",1,1,1,1,2,3,3,3,1,3,1,3,3,1,1,1,1,1,3,3,3,3,1,1,3
"94",1,2,2,1,3,2,3,3,3,2,2,3,3,2,2,3,1,1,1,2,3,3,1,3,3
"95",1,1,1,1,2,1,3,1,2,3,1,3,3,1,1,1,1,2,1,1,1,1,1,1,2
"96",1,3,1,1,3,1,3,2,1,3,2,2,3,1,1,3,1,3,1,3,1,3,2,3,3
"97",1,3,3,1,3,3,3,3,1,3,2,3,3,2,2,1,1,3,3,3,3,3,2,3,3
"98",1,3,3,1,3,3,3,3,3,3,3,1,3,3,3,3,1,3,3,3,1,3,3,3,3
"99",1,1,1,1,3,1,3,2,2,2,1,2,2,1,1,1,1,3,2,2,2,2,1,2,2
"100",1,1,1,1,3,1,3,1,1,1,1,3,3,1,1,2,2,3,2,2,1,1,1,2,3
"101",1,1,1,1,2,1,3,1,1,2,1,3,3,1,1,2,1,3,1,3,1,1,1,1,3
"102",1,3,2,2,3,2,3,3,2,1,1,3,3,2,3,3,1,1,2,2,2,3,3,3,3
"103",1,3,1,1,3,1,3,3,3,3,1,3,3,2,2,3,1,3,1,2,3,3,3,3,3
"104",1,1,1,1,3,1,2,2,2,2,1,2,2,1,1,1,1,2,2,2,2,2,1,2,2
"105",1,3,2,1,3,1,3,3,3,1,1,3,1,1,3,3,1,1,1,1,1,3,2,3,3
"106",1,2,1,1,3,2,2,3,2,2,2,3,3,3,3,3,1,1,1,3,1,3,1,3,3
"107",1,2,2,1,3,3,3,3,1,3,1,1,3,2,2,1,1,3,2,3,2,2,3,3,3
"108",1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2
"109",1,2,2,1,3,1,3,2,2,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1
"110",1,2,3,1,3,3,3,3,3,3,2,1,3,3,2,3,1,1,3,2,2,3,1,2,2
"111",1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3
"112",1,1,1,1,2,1,1,1,1,2,1,1,1,1,3,1,1,3,1,1,1,1,1,3,2
"113",1,1,1,1,3,1,3,2,1,1,1,3,3,1,1,1,1,3,1,1,1,1,2,1,3
"114",1,1,1,1,2,1,3,1,1,1,1,3,3,1,1,1,1,2,1,1,1,1,1,1,3
"115",1,3,2,1,3,3,3,3,1,3,3,3,3,2,1,1,3,3,1,3,1,2,1,3,3
"116",1,1,1,1,2,1,2,2,1,1,3,3,3,1,1,1,1,2,1,1,1,2,1,1,2
"117",1,1,1,1,3,2,2,3,1,2,1,1,3,2,2,2,1,3,2,2,1,3,2,2,3
"118",1,1,1,1,2,1,3,3,1,2,2,2,3,1,1,1,1,3,1,1,1,2,2,2,2
"119",2,1,1,1,3,1,3,1,1,2,1,3,3,1,1,2,3,3,1,1,1,1,1,1,3
"120",1,3,3,1,3,1,3,1,1,1,1,2,2,2,2,1,1,3,3,3,1,3,1,3,1
"121",1,1,1,1,3,1,3,2,1,1,1,3,3,2,2,1,1,3,1,1,2,2,2,3,3
"122",1,1,1,1,3,1,3,1,1,2,1,3,3,1,1,1,1,1,1,2,1,1,1,1,2
"123",1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2
"124",1,1,1,1,2,1,3,1,2,2,1,1,1,1,1,1,1,1,1,3,1,1,1,3,3
"125",1,1,1,1,3,1,3,2,2,1,1,3,3,1,1,1,1,1,2,2,2,2,2,3,3
"126",1,3,1,1,3,1,1,2,1,3,2,3,1,1,1,2,2,3,1,1,1,2,2,2,2
"127",1,3,1,1,3,1,3,2,3,2,1,1,3,1,1,1,1,2,1,1,2,2,1,1,1
"128",1,1,1,1,1,1,3,3,1,3,1,1,1,1,1,1,1,3,1,3,3,3,1,1,1
"129",1,1,1,1,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"130",3,1,1,1,3,3,1,2,1,3,1,3,3,1,1,2,1,3,1,2,2,1,1,1,2
"131",1,1,1,1,3,1,1,1,1,2,1,3,3,1,1,1,1,3,1,2,1,1,1,2,2
"132",1,1,1,1,3,1,3,1,1,2,1,3,3,1,1,1,1,1,2,2,1,2,1,1,1
